Country English,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
Mauritius,830116,842412,854036,865368,876740,888292,900166,912575,925835,940035,954865,969807,984176,998000,1011941,1025769,1039029,1051809,1064330,1076961,1090290,1104260,1118714,1133252,1147161,1160208,1172542,1184257,1194880,1205413,1216629,1225801,1234086,1242099,1249800,1257215,1263781,1269519,1274635,1278972,1282710,1286267,1289170,1290984,1292005,1292276,1291804,1290655,1288834,1286270,1283223,1279624,1276130,1273588,1271169,1268280,
Morocco,15274351,15677300,16081438,16489453,16902384,17325326,17756516,18206473,18679860,19167661,19678444,20208260,20746765,21287381,21817272,22335078,22824446,23279935,23720590,24148104,24570814,24988083,25400676,25806777,26201551,26599048,26999093,27397118,27791825,28176997,28423436,28814643,29198142,29571416,29953019,30358144,30771178,31186468,31606767,32030778,32467016,32912588,33355242,33787571,34204780,34607589,35023458,35446392,35839760,36210898,36584208,36954443,37329064,37712505,38081173,38430770,
Mozambique,8411676,8622890,8860586,9123669,9404222,9703732,10019211,10363575,10741128,11127844,11413588,11640016,11901827,12163328,12426223,12680065,12909797,12964794,12956772,13087604,13303459,13561176,13816882,14206254,14912874,15594830,16079554,16521724,16923195,17337894,18129653,18537729,18958338,19392475,19840313,20304569,20787087,21287635,21819036,22391745,22999235,23649039,24337847,25051611,25788475,26547573,27337105,28166394,29018645,29884380,30783688,31707800,32656246,33635160,34631766,35631653,
Namibia,754468,776995,800610,824918,850091,876572,901840,926109,942023,957334,975994,987394,1005521,1033086,1061995,1093311,1127990,1165431,1207949,1288070,1369011,1415617,1461687,1509835,1558449,1605371,1650067,1693242,1735953,1778278,1818647,1857048,1889971,1917464,1942082,1966582,1991888,2018600,2047056,2077394,2109811,2146325,2194654,2252508,2312139,2374300,2439213,2506853,2577327,2650495,2728762,2810548,2889663,2963095,3030131,3092817,
Niger,4669708,4797068,4926318,5059382,5196579,5339497,5488658,5644704,5810351,5987152,6173177,6366262,6564446,6766607,6973849,7187619,7408365,7636591,7872253,8116075,8370649,8634641,8907644,9193078,9493324,9813919,10149937,10494201,10854920,11231470,11509630,11920648,12349144,12796984,13265837,13756192,14268581,14803610,15361915,15943676,16548835,17176283,17836770,18519899,19215909,19939498,20685754,21435447,22188069,22947758,23717614,24502140,25311973,26159867,27032413,27917831,
Nigeria,55569264,56837614,58173835,59605446,61157932,62851312,64658315,66589656,68633344,70750307,72951440,75175387,77388067,79351586,81337553,83585251,85804185,88044187,90351467,92744065,95214257,97685360,100182045,102775465,105456121,108187610,110956183,113791181,116690528,119695566,126382494,129862595,133471989,137202645,141057045,145017254,149077334,153267261,157595014,162049464,166642886,171379598,176200625,181049443,185896915,190671878,195443700,200254579,204938755,209485641,213996181,218529287,223150896,227882945,232679478,237527782,
Rwanda,3896367,4015403,4135580,4259485,4386370,4515756,4648207,4783252,4921953,5074374,5247532,5441966,5652900,5859397,6056729,6266752,6497804,6735830,6953975,7141974,7319963,7485681,7657208,7904740,6732665,5686897,6715510,7666732,7914646,8009587,8213931,8287095,8400180,8586875,8816844,9054528,9299246,9549934,9804269,10060432,10317554,10573733,10829901,11093340,11364757,11640022,11919183,12202061,12487996,12776103,13065837,13355260,13651030,13954472,14256567,14569341,
Senegal,4367745,4498616,4633452,4772040,4911421,5047922,5181196,5308297,5433225,5564474,5703869,5852029,6008392,6171874,6341801,6520705,6710885,6909837,7113636,7321832,7536001,7754290,7974514,8196552,8416998,8632681,8843423,9051539,9261527,9478564,9968260,10212942,10466214,10721176,10975705,11235472,11500095,11770344,12048959,12337389,12635413,12958897,13310495,13710849,14152102,14593331,15034521,15475002,15914499,16352922,16789220,17220867,17651103,18077574,18501985,18931967,
Seychelles,54379,55694,57052,58359,59621,60943,62181,63166,63978,64662,65290,65930,66435,66859,67346,67833,68325,68897,69586,70343,71057,71754,72417,73041,73846,74735,75550,76532,77664,78833,83318,84606,85857,87034,88156,89266,90373,91468,92548,93628,94971,97024,99543,102093,104655,107230,109821,112427,115040,117651,120291,122988,125523,127951,130419,132779,
Sierra Leone,2778557,2832393,2886642,2942333,2998843,3055916,3112864,3172195,3235170,3300032,3367477,3437108,3509197,3585773,3666262,3749419,3842917,3947866,4056215,4159164,4325388,4378170,4301566,4295689,4314953,4324149,4347371,4405028,4449975,4475146,4423612,4692716,4971435,5177687,5355717,5501713,5624466,5749353,5894723,6055647,6222714,6387251,6551080,6714052,6876385,7037655,7205329,7379299,7554563,7731991,7912558,8094602,8276807,8460512,8642023,8819794,
